highlighted_texts,top_word,label,confidence
꿈만 같아요,가격,positive,"{'negative': 0.00995304, 'positive': 99.947815, 'neutral': 0.04223542}"
[전국 주요 신문 톱뉴스](29일 조간,신문,neutral,"{'negative': 0.019764842, 'positive': 0.018615045, 'neutral': 99.96162}"
정부 지원 요구 공동 대응,요구,neutral,"{'negative': 0.12634115, 'positive': 0.14289905, 'neutral': 99.73076}"
미국 지켜주는 미사일 일?…1 국 지켜주는 미,미국,negative,"{'negative': 74.96424, 'positive': 0.025858501, 'neutral': 25.009897}"
치열한 공방,가격,negative,"{'negative': 99.96666, 'positive': 0.004720351, 'neutral': 0.028620332}"
총선 결과와 무관한 脫탈원전 당위성,결과,neutral,"{'negative': 0.2208651, 'positive': 0.0229545, 'neutral': 99.75618}"
2035년까지 탄소 없는 도시 완성,완성,neutral,"{'negative': 1.2039825, 'positive': 6.2794003, 'neutral': 92.51662}"
울산 등 ‘6월 시행’ 분산에너지 특별법 대비 ‘한창,대비,positive,"{'negative': 0.023143128, 'positive': 99.91707, 'neutral': 0.059786174}"
신입 아나운서 월급 60만원' 신입,신입,neutral,"{'negative': 4.600722, 'positive': 0.25570792, 'neutral': 95.14357}"
총력,총력,neutral,"{'negative': 0.50215393, 'positive': 26.132124, 'neutral': 73.36572}"
룩셈부르크 견학 간 이유는,견학,neutral,"{'negative': 0.036569018, 'positive': 0.01989226, 'neutral': 99.94354}"
국비 확보 전략은?,국비,neutral,"{'negative': 0.04661774, 'positive': 0.072334744, 'neutral': 99.88105}"
풍력발전기 남은 전력 재활용해 야간 관광지 조성,관광지,neutral,"{'negative': 0.07992584, 'positive': 1.4674015, 'neutral': 98.452675}"
교통부분 3대 혁신과제 구체적 방안 필요,과제,neutral,"{'negative': 0.1255932, 'positive': 0.04402085, 'neutral': 99.83038}"
2035 탄소중립 비전 선포,선포,neutral,"{'negative': 0.084222265, 'positive': 0.2249924, 'neutral': 99.69079}"
맞손,가격,neutral,"{'negative': 0.14603041, 'positive': 1.9102725, 'neutral': 97.943695}"
30일 제주서 개막,개막,neutral,"{'negative': 0.022797266, 'positive': 0.039549537, 'neutral': 99.93765}"
해상풍력 발전 등 에너지 대전환 협력 맞손,발전,neutral,"{'negative': 0.07445177, 'positive': 0.10760815, 'neutral': 99.81794}"
값 50원 올라 1천658.09원 기록,기록,neutral,"{'negative': 0.1031604, 'positive': 0.12090626, 'neutral': 99.77593}"
권한 없는 ‘지방자치’ 탓,권한,negative,"{'negative': 99.97756, 'positive': 0.0053728065, 'neutral': 0.017065782}"
해상풍력 선도 기업 변모,변모,neutral,"{'negative': 0.029827364, 'positive': 0.11091326, 'neutral': 99.85926}"
[인사,인사,neutral,"{'negative': 0.03190933, 'positive': 0.020718303, 'neutral': 99.94737}"
해상풍력사업 컨퍼런스 열어,컨퍼런스,neutral,"{'negative': 0.0380469, 'positive': 0.1962296, 'neutral': 99.765724}"
세계 어디서나 먹었던 시간의 맛,서나,neutral,"{'negative': 0.017943589, 'positive': 0.07825875, 'neutral': 99.9038}"
협력 강화,강화,neutral,"{'negative': 0.15174864, 'positive': 0.78693014, 'neutral': 99.06132}"
[CES24 현장,현장,neutral,"{'negative': 0.02256225, 'positive': 0.043009814, 'neutral': 99.934425}"
절감 기대,기대,positive,"{'negative': 0.018307995, 'positive': 99.96983, 'neutral': 0.011858565}"
지역별 차등요금제 도입,금제,neutral,"{'negative': 0.096856825, 'positive': 0.0729897, 'neutral': 99.830154}"
내년 APEC 정상회의 최적지,최적,neutral,"{'negative': 0.21889932, 'positive': 1.7089894, 'neutral': 98.07211}"
우주산업 분야 협력 모색,우주,neutral,"{'negative': 0.04725998, 'positive': 0.04994101, 'neutral': 99.9028}"
차별화 전략 도입,차별,neutral,"{'negative': 0.16206123, 'positive': 3.2085397, 'neutral': 96.6294}"
남녀노소 즐기는 과학체험,남녀,positive,"{'negative': 0.016225979, 'positive': 99.70558, 'neutral': 0.2781906}"
"직류배전 시대 앞당긴다 전, 직류배전 시대 앞당긴다…",배전,positive,"{'negative': 0.04698178, 'positive': 85.83975, 'neutral': 14.113263}"
그린에너지’ 등 미래 신산업 인재 양성,양성,neutral,"{'negative': 0.10156425, 'positive': 5.0204434, 'neutral': 94.87799}"
"돌래떡 만들어  ""돌래떡 만들어 볼래요?""",가격,neutral,"{'negative': 0.2848257, 'positive': 14.227379, 'neutral': 85.48779}"
"RE100 민의미래 김소희,",김소희,negative,"{'negative': 85.66171, 'positive': 0.023250008, 'neutral': 14.315041}"
아랍권과 국제 네트워크 강화,아랍권,neutral,"{'negative': 0.062136516, 'positive': 0.5563097, 'neutral': 99.38155}"
전기화물차 제조사와 화재 예방 위해 맞손,조사,neutral,"{'negative': 0.08309321, 'positive': 0.62972397, 'neutral': 99.287186}"
"[정치쇼 치쇼] ""강원도 [정치쇼] """,정치,negative,"{'negative': 74.980896, 'positive': 0.008704882, 'neutral': 25.010399}"
제주도 지하수 보호 방안 추진,보호,neutral,"{'negative': 0.22611684, 'positive': 3.2067382, 'neutral': 96.56715}"
7∼11일 중국 자율주행 기업 등 방문,방문,neutral,"{'negative': 0.07137624, 'positive': 0.024006356, 'neutral': 99.90462}"
[팔도핫플레이스 플레이스]여,레이스,positive,"{'negative': 0.007209876, 'positive': 85.712204, 'neutral': 14.280582}"
치열한 공방,가격,negative,"{'negative': 94.61483, 'positive': 0.013935752, 'neutral': 5.3712325}"
타당한가,당한,neutral,"{'negative': 0.3143109, 'positive': 0.019024298, 'neutral': 99.666664}"
재생에너지가 관광을 만나,재생에너지,neutral,"{'negative': 0.07966965, 'positive': 6.769562, 'neutral': 93.15077}"
서울서 6년간 73곳 폐업,폐업,negative,"{'negative': 99.96503, 'positive': 0.009452357, 'neutral': 0.025522178}"
어선 사고 피해 최소화한다,사고,positive,"{'negative': 0.04443883, 'positive': 99.87627, 'neutral': 0.07929532}"
민주 평화 협약,민주,neutral,"{'negative': 0.06018687, 'positive': 0.04973087, 'neutral': 99.89008}"
국제에너지기구 전기차 기술협력프로그램 집행위원회 개최,기구,neutral,"{'negative': 0.03851259, 'positive': 0.02048342, 'neutral': 99.941}"
에너지 등 5개 기업 CES2024 참가,참가,neutral,"{'negative': 0.032647945, 'positive': 0.03523647, 'neutral': 99.93211}"
제주도와 전기차 사용 후 배터리 사업 협력 약속,약속,neutral,"{'negative': 0.03965767, 'positive': 0.076090135, 'neutral': 99.884254}"
수소경제 체계적으로 키운다 체계적으로 키운다…,체계,positive,"{'negative': 0.05077299, 'positive': 78.982185, 'neutral': 20.967043}"
풍력발전기 아래서 누리는 ‘바람멍’의 여유,아래,neutral,"{'negative': 0.022315284, 'positive': 0.5310664, 'neutral': 99.44662}"
[하루만보 하루천자 하루만보 하루천자,하루,positive,"{'negative': 0.025651647, 'positive': 82.53632, 'neutral': 17.43802}"
미래 성장산업으로 부상하며 첫 자격시험 성료,부상,positive,"{'negative': 0.036433663, 'positive': 99.95531, 'neutral': 0.0082584135}"
업무 노트북 들고  업무 노트북 들고 다른,노트북,neutral,"{'negative': 0.16993372, 'positive': 0.05607433, 'neutral': 99.773994}"
제주 해발 400m에 1조7000억 관광단지 추진,해발,neutral,"{'negative': 0.12629747, 'positive': 0.30668682, 'neutral': 99.56702}"
[친환경이 돈이다 분뇨 변신은 무죄…친,무죄,positive,"{'negative': 0.031456072, 'positive': 85.06344, 'neutral': 14.905107}"
기술상용화 박차,박차,neutral,"{'negative': 0.04766127, 'positive': 0.4311925, 'neutral': 99.52115}"
제주대 재학생 10명 선발 위성교육프로그램 진행,선발,neutral,"{'negative': 0.037090752, 'positive': 0.019611306, 'neutral': 99.9433}"
녹색섬 제주 이끄는 리더가 되다,리더,positive,"{'negative': 0.012433294, 'positive': 99.87816, 'neutral': 0.10940595}"
단층 방향 달라,단층,neutral,"{'negative': 0.26068074, 'positive': 0.036630288, 'neutral': 99.70269}"
과잉 생산으로 인한 출력제어는 ‘숙제,과잉,negative,"{'negative': 99.65916, 'positive': 0.008177842, 'neutral': 0.33266163}"
낮기온 크게 올라 포근,기온,neutral,"{'negative': 0.32066137, 'positive': 3.5133448, 'neutral': 96.16599}"
젊은 공직자의 혁신 아이디어’가 제주의 미래다,공직자,neutral,"{'negative': 0.06863956, 'positive': 5.2134533, 'neutral': 94.71791}"
한화 계열 중산간 관광단지 개발 사업 입지 검토,계열,neutral,"{'negative': 0.1278091, 'positive': 0.06653681, 'neutral': 99.80566}"
맞손,가격,neutral,"{'negative': 0.2933067, 'positive': 0.041128647, 'neutral': 99.665565}"
협력 다짐,다짐,neutral,"{'negative': 0.05108587, 'positive': 0.059598465, 'neutral': 99.88931}"
에너지 복지 늘어날까 ... 야권 4개 정당,야권,positive,"{'negative': 0.029238563, 'positive': 85.61046, 'neutral': 14.360307}"
[오늘의 주요일정,일정,neutral,"{'negative': 0.018731663, 'positive': 0.01816207, 'neutral': 99.963104}"
제주지역 특화산업 발굴 지원 나섰다,발굴,neutral,"{'negative': 0.017016368, 'positive': 0.26702848, 'neutral': 99.71596}"
RIS 2차년도 사업 확정,년도,neutral,"{'negative': 0.016120479, 'positive': 0.050729644, 'neutral': 99.93315}"
신규 탄소흡수원 ‘블루카본’ 부산 연안서 활용 방안 모색,부산,neutral,"{'negative': 0.049314223, 'positive': 0.06916456, 'neutral': 99.88152}"
시간의 경계선이 묻는다 선이 묻는다… 당 시간의 경계선이 묻는다…,경계,neutral,"{'negative': 1.5380223, 'positive': 0.14206146, 'neutral': 98.319916}"
보수표’ 놓고 난타전,보수,negative,"{'negative': 99.97916, 'positive': 0.0070092855, 'neutral': 0.013833886}"
"배터리 등 기재부 신성장추진단, 그린",기재부,neutral,"{'negative': 0.054416254, 'positive': 0.41340646, 'neutral': 99.53218}"
더불어 행복한 제주 위해 소통,소통,positive,"{'negative': 0.013594321, 'positive': 99.95825, 'neutral': 0.028150287}"
신기술 시험 등 혁신기관 협력해야,기관,neutral,"{'negative': 0.11283375, 'positive': 0.10396076, 'neutral': 99.7832}"
전수조사해야,사해,negative,"{'negative': 99.96466, 'positive': 0.0040576267, 'neutral': 0.03128047}"
디스플레이 공정 개선 필요,공정,neutral,"{'negative': 0.28663558, 'positive': 0.23137137, 'neutral': 99.481995}"
제주도는 아냐,제주도,neutral,"{'negative': 0.33815134, 'positive': 0.027033279, 'neutral': 99.63482}"
"직류배전 시대 연다 전, 직류배전 시대 연다…""",배전,positive,"{'negative': 0.041865695, 'positive': 85.67186, 'neutral': 14.286275}"
"[비즈 산건설, 위브 챔피언십 갤러리티켓 수익",갤러리,neutral,"{'negative': 0.028135542, 'positive': 0.05544164, 'neutral': 99.91642}"
현대글로비스가 맡아 처리한다,글로비스,neutral,"{'negative': 0.047645703, 'positive': 0.06312692, 'neutral': 99.88923}"
지구의 날’ 맞아 행사 다채,행사,positive,"{'negative': 0.013266675, 'positive': 99.81843, 'neutral': 0.16830422}"
성인 과일 섭취량 ‘뚝,과일,neutral,"{'negative': 0.1306961, 'positive': 2.8136852, 'neutral': 97.05562}"
환경첨단기술 보금자리 ‘2막’ 연다,보금자리,neutral,"{'negative': 0.015113457, 'positive': 0.113584206, 'neutral': 99.8713}"
[전국 주요 신문 톱뉴스](13일 조간,신문,neutral,"{'negative': 0.019297926, 'positive': 0.018831592, 'neutral': 99.96187}"
순환경제 기반 다진다,순환,positive,"{'negative': 0.034907565, 'positive': 94.58647, 'neutral': 5.378622}"
제주 즐기기 ,제주,positive,"{'negative': 0.018455245, 'positive': 99.93152, 'neutral': 0.050024834}"
한국의 ‘기후 선거구’는 어디인가,선거구,neutral,"{'negative': 0.1511443, 'positive': 0.016227707, 'neutral': 99.83263}"
[팔도핫플레이스,레이스,neutral,"{'negative': 0.018163238, 'positive': 0.0873857, 'neutral': 99.89445}"
미래 모빌리티 등 신성장 프로젝트 추진,프로젝트,neutral,"{'negative': 0.02402595, 'positive': 0.039964695, 'neutral': 99.93601}"
사내커플이 줄어든 이유 보니,커플,neutral,"{'negative': 0.3003186, 'positive': 0.051810514, 'neutral': 99.64787}"
빗길 산책이 건강에 더 좋은 점,건강,positive,"{'negative': 0.0052714953, 'positive': 99.978195, 'neutral': 0.016533848}"
제주 제2공항 쟁점속 지역 상권 활성화,공항,neutral,"{'negative': 0.099834464, 'positive': 0.050561152, 'neutral': 99.8496}"
암이 생겼다고  제주 주 와서 암이 생겼다고 생각하,생각,neutral,"{'negative': 0.051525347, 'positive': 0.05479668, 'neutral': 99.89368}"
내년 말까지 그린수소 충전소 4곳으로 확대,내년,neutral,"{'negative': 0.057279892, 'positive': 0.5522469, 'neutral': 99.39047}"
금천구 학교 밖 청소년들 제주도 힐링 여행,금천구,positive,"{'negative': 0.031060778, 'positive': 99.9499, 'neutral': 0.019042227}"
제주도 민주당 대진표  확정,대진표,neutral,"{'negative': 0.06692584, 'positive': 0.06724231, 'neutral': 99.86583}"
더 나은 세상을 위한 협력,나은,neutral,"{'negative': 0.1293578, 'positive': 9.256658, 'neutral': 90.61398}"
[주요 단신] 국민의힘 제주도당 선대위 출범 주요 단신] 국,단신,neutral,"{'negative': 0.038172033, 'positive': 0.03539588, 'neutral': 99.92643}"
여성’ 빠졌다,여성,negative,"{'negative': 99.967995, 'positive': 0.008474956, 'neutral': 0.023528403}"
민생경제 회복  최선,최선,neutral,"{'negative': 0.1473239, 'positive': 38.21276, 'neutral': 61.639915}"
한덕수 총리 예방 연내 행정체제 투표 지원 건의,건의,neutral,"{'negative': 0.09799673, 'positive': 0.06184834, 'neutral': 99.84016}"
에너지 대전환 비전 발표,발표,neutral,"{'negative': 0.05216355, 'positive': 0.13983874, 'neutral': 99.808}"
풀뿌리’ 살려보려고 취약한 ‘,뿌리,negative,"{'negative': 81.5481, 'positive': 0.10260426, 'neutral': 18.34929}"
세계 주목 받겠다,주목,neutral,"{'negative': 0.14525054, 'positive': 2.0913281, 'neutral': 97.76342}"
우리 생명은 그렇게 빛과 색이며 따스함이다,빛과,positive,"{'negative': 0.011714362, 'positive': 99.98209, 'neutral': 0.006191796}"
2035 탄소중립 달성 시나리오 제시 제주특별자,특별,neutral,"{'negative': 0.052634478, 'positive': 0.0362057, 'neutral': 99.91116}"
2개 특화사업본부장 임명,본부장,neutral,"{'negative': 0.052865688, 'positive': 0.029372362, 'neutral': 99.91776}"
[인터뷰,인터뷰,neutral,"{'negative': 0.16625038, 'positive': 0.017183512, 'neutral': 99.81657}"
신성장산업기업 청년 신규채용하면 월 120만원 1년간 지원,채용,neutral,"{'negative': 0.07803917, 'positive': 4.2086067, 'neutral': 95.713356}"
日 오키나와 ‘3자간 네트워크 협의체’ 발족 추진,발족,neutral,"{'negative': 0.08246294, 'positive': 0.019589681, 'neutral': 99.89795}"
‘재생에너지 통합발전소 서비스’ 동남아시아 진출 MOU,동남아시아,neutral,"{'negative': 0.056265656, 'positive': 0.082364455, 'neutral': 99.86137}"
전국 첫 분산에너지 특화지역 선점 활발,활발,positive,"{'negative': 0.021734325, 'positive': 99.859215, 'neutral': 0.11905408}"
"총선 예비후보를 만나다 총선 예비후보를 만나다]김승욱,",예비,positive,"{'negative': 0.012362656, 'positive': 85.68653, 'neutral': 14.301109}"
출력제어 문제 사라지나 력제어 문제 사라지나… 제주 전국 첫 재생에너지 입찰,제어,neutral,"{'negative': 0.12827726, 'positive': 0.035438463, 'neutral': 99.83628}"
이상순이 직접 밝힌 카페 폐업 이유,이상순,negative,"{'negative': 99.96806, 'positive': 0.004925263, 'neutral': 0.027010718}"
"한국 넉달 못 버틴다 ""이 항로 막",항로,negative,"{'negative': 50.04245, 'positive': 48.700848, 'neutral': 1.2567014}"
미래산업 유망 스타트업 중심 경남 벤처투자 생태계 다진다,경남,neutral,"{'negative': 0.037967943, 'positive': 1.0208483, 'neutral': 98.941185}"
지방소멸 위기,소멸,negative,"{'negative': 99.972206, 'positive': 0.010862385, 'neutral': 0.016928686}"
캄보디아 시엠립주 교류협력 강화,시엠립,neutral,"{'negative': 0.05747886, 'positive': 0.39367726, 'neutral': 99.54884}"
직류,직류,neutral,"{'negative': 0.08149544, 'positive': 1.0311873, 'neutral': 98.887314}"
"[네트워크  제주도 ""2035년까지 아시아 최초 무탄소 ",아시아,negative,"{'negative': 76.366974, 'positive': 4.9296465, 'neutral': 18.703382}"
생산기지 만들고 목조건축 늘리고 수소 트램·생산기지 만들,기지,neutral,"{'negative': 0.14416906, 'positive': 2.1369264, 'neutral': 97.7189}"
동서발전  ‘신재생에너지로의 전환 잰걸음,걸음,neutral,"{'negative': 0.05236046, 'positive': 0.47775716, 'neutral': 99.46988}"
내 집 마련 문턱 낮춘다,문턱,positive,"{'negative': 0.011370418, 'positive': 99.907036, 'neutral': 0.08159584}"
주민반대 딛고 6년 뒤 ,반대,positive,"{'negative': 0.029058058, 'positive': 99.86864, 'neutral': 0.10230105}"
지정 속도 낸다,속도,neutral,"{'negative': 0.02191538, 'positive': 0.10021089, 'neutral': 99.87788}"
굳이 제주까지 가서 ,굳이,neutral,"{'negative': 0.20784242, 'positive': 0.057320848, 'neutral': 99.73484}"
쓰레기봉툿값 700원 쓰레기봉툿값 700원,봉툿값,negative,"{'negative': 85.70235, 'positive': 0.012231481, 'neutral': 14.28542}"
‘개사과’라도 다행이야 다행이야…209,다행,positive,"{'negative': 49.898754, 'positive': 49.939045, 'neutral': 0.16220254}"
문대림-고광철 공방  치열,광철,neutral,"{'negative': 35.994568, 'positive': 0.090307154, 'neutral': 63.915127}"
추진효율 향상된 ,향상,positive,"{'negative': 0.027728098, 'positive': 99.95808, 'neutral': 0.014195133}"
APEC 유치 사활 건 제주,사활,neutral,"{'negative': 0.0599623, 'positive': 0.10583127, 'neutral': 99.834206}"
윤 대통령 제주 민생토론회 언제쯤,대통령,neutral,"{'negative': 0.101374626, 'positive': 0.023161864, 'neutral': 99.875465}"
안간힘,안간힘,neutral,"{'negative': 5.667846, 'positive': 0.20532015, 'neutral': 94.12683}"
은행남무 기념 식수 의미는,기념,neutral,"{'negative': 0.071499094, 'positive': 0.032767575, 'neutral': 99.89574}"
이렇게 가능했다 농가에 자양강장,자양,positive,"{'negative': 0.026517987, 'positive': 85.677666, 'neutral': 14.295819}"
수소 트램,트램,neutral,"{'negative': 0.08760415, 'positive': 0.3905513, 'neutral': 99.52184}"
비전 냈다,가격,neutral,"{'negative': 0.0334546, 'positive': 0.12977184, 'neutral': 99.83678}"
벤츠부터 테슬라까지  명품 전기차 타고 ,명품,neutral,"{'negative': 0.3552759, 'positive': 1.5077256, 'neutral': 98.137}"
감면은 물론 직원 거주비 지원,거주,positive,"{'negative': 0.5371888, 'positive': 94.934135, 'neutral': 4.528673}"
사무실 아닌   '여기'서 ,사무실,neutral,"{'negative': 0.14849307, 'positive': 0.022552384, 'neutral': 99.82896}"
난개발 논란,논란,negative,"{'negative': 99.98104, 'positive': 0.008279462, 'neutral': 0.010679409}"
에너지 대전환 비전 발표,발표,neutral,"{'negative': 0.05216355, 'positive': 0.13983874, 'neutral': 99.808}"
대접받지 못한 이들 대변하는 국회의원 되고 ,국회의원,negative,"{'negative': 99.95963, 'positive': 0.010192227, 'neutral': 0.030175496}"
"제주 중산간에 대규모 개발 사업 추진 화, 제주 중산",중산,negative,"{'negative': 85.698074, 'positive': 0.025013212, 'neutral': 14.276912}"
신성장 사업 차질 없는 이행으로 역동성 제고,동성,positive,"{'negative': 0.02154514, 'positive': 99.957344, 'neutral': 0.021114463}"
빌리티 맡는다,가격,neutral,"{'negative': 0.06360202, 'positive': 0.081259675, 'neutral': 99.85514}"
전국 최초 ‘어나더 오피스,어나더,positive,"{'negative': 0.02824448, 'positive': 99.88501, 'neutral': 0.08674255}"
수소경제 협력 논의,논의,neutral,"{'negative': 0.052650455, 'positive': 0.06015941, 'neutral': 99.88719}"
산업현장 숙련기술자 우대,기술자,positive,"{'negative': 0.026785774, 'positive': 99.41157, 'neutral': 0.56164604}"
난개발 논란 예상,예상,negative,"{'negative': 99.98043, 'positive': 0.009412807, 'neutral': 0.010155439}"
제주 농가 악취 해결될까,악취,negative,"{'negative': 99.9568, 'positive': 0.011071615, 'neutral': 0.032127604}"
국내 최초 CE 인증으로 글로벌 시장 공략 가속화,가속,positive,"{'negative': 0.011985563, 'positive': 99.96381, 'neutral': 0.024201935}"
관광객 증대 기여,기여,positive,"{'negative': 0.01654768, 'positive': 99.92666, 'neutral': 0.056791455}"
뒤 한국 시장 활짝,활짝,neutral,"{'negative': 0.11328562, 'positive': 0.5833989, 'neutral': 99.303314}"
주말 서울 도심 행진 세월호참사,도심,negative,"{'negative': 84.09148, 'positive': 0.039566696, 'neutral': 15.8689575}"
불필요하다,가격,negative,"{'negative': 99.27107, 'positive': 0.04541896, 'neutral': 0.68350714}"
"[C테크나우 …""100조 해상풍력",나우,neutral,"{'negative': 0.24319836, 'positive': 2.4097705, 'neutral': 97.34703}"
재생에너지로 조달,조달,neutral,"{'negative': 0.03441705, 'positive': 0.05428, 'neutral': 99.9113}"
한국인 간첩죄 체포 왜  체포 왜?…“,체포,negative,"{'negative': 99.95996, 'positive': 0.004500145, 'neutral': 0.03553698}"
희망 상임위로 본 의정 활동 방향은?,상임,neutral,"{'negative': 0.05946603, 'positive': 0.029704407, 'neutral': 99.91083}"
"전장이 미래다 래다""…LG화학, 차량",전장,neutral,"{'negative': 0.02781513, 'positive': 0.0653075, 'neutral': 99.906876}"
국가보다 15년 일찍 ‘탄소중립  국가보다 15년 일,국가,neutral,"{'negative': 0.08130984, 'positive': 0.431878, 'neutral': 99.48681}"
너무 많은 전기 생산 문제,생산,negative,"{'negative': 99.98023, 'positive': 0.008217256, 'neutral': 0.011551203}"
낙뢰 맞고 바람 나빠도 가동률 98.1,낙뢰,negative,"{'negative': 99.90152, 'positive': 0.059889287, 'neutral': 0.03858748}"
한국에도 이런 곳이 한국에도 이런 곳이,한국,neutral,"{'negative': 0.039956424, 'positive': 0.0751236, 'neutral': 99.88492}"
4월 10일은 심판의 날,심판,negative,"{'negative': 99.93541, 'positive': 0.0043708985, 'neutral': 0.060220286}"
2024년 춘계학술대회 성료,대회,positive,"{'negative': 0.0435123, 'positive': 99.94983, 'neutral': 0.0066608614}"
나무 벤 자리에 나무 심는 이상한 제주도 행정,나무,negative,"{'negative': 99.96877, 'positive': 0.0069301194, 'neutral': 0.024298731}"
백남준  '백남준'의 비,백남준,neutral,"{'negative': 0.020964505, 'positive': 0.020387238, 'neutral': 99.95865}"
신안 햇빛연금 징수,신안,neutral,"{'negative': 0.20644732, 'positive': 0.13218594, 'neutral': 99.66137}"
호반그룹 편입 후 5년 연속 호실적,그룹,positive,"{'negative': 0.030148415, 'positive': 99.953064, 'neutral': 0.016788915}"
공염불 된 교육부의 대학규제 철폐,교육부,neutral,"{'negative': 23.513618, 'positive': 1.8145121, 'neutral': 74.67187}"
재생에너지도 전력시장 입찰 참여,참여,neutral,"{'negative': 0.026880503, 'positive': 0.023755759, 'neutral': 99.94936}"
항공우주분야 인재 양성 1번지로,번지,neutral,"{'negative': 0.045389794, 'positive': 0.17025135, 'neutral': 99.784355}"
지방분권의 불씨를 지피자,분권,neutral,"{'negative': 0.03758612, 'positive': 0.7884022, 'neutral': 99.17401}"
우수한 숙련 기술 갖춘 ‘제주도 명장,명장,positive,"{'negative': 0.011159158, 'positive': 99.96377, 'neutral': 0.025071079}"
희망 상임위로 본 의정활동 방향은?,상임,neutral,"{'negative': 0.05946603, 'positive': 0.029704407, 'neutral': 99.91083}"
물결,물결,neutral,"{'negative': 0.07878805, 'positive': 2.0006254, 'neutral': 97.920586}"
지방소멸 극복 위해 ,극복,neutral,"{'negative': 0.09774657, 'positive': 0.7499576, 'neutral': 99.1523}"
연료비 부담 덜겠네,연료비,positive,"{'negative': 0.040485844, 'positive': 99.88916, 'neutral': 0.070350625}"
보령방조제 갯벌생태계 복원 위한 염생식물 식재外,갯벌,neutral,"{'negative': 0.16056415, 'positive': 17.95409, 'neutral': 81.885345}"
제주에너지공사 혁신성장 현장 간담회 진행,간담,neutral,"{'negative': 0.032716624, 'positive': 0.047792163, 'neutral': 99.919495}"
상권 살아나고 어획량 늘어,어획,positive,"{'negative': 0.024970641, 'positive': 99.96137, 'neutral': 0.013656391}"
중국 화학 산업 추격,추격,neutral,"{'negative': 0.18698639, 'positive': 0.050927036, 'neutral': 99.762085}"
2035년 탄소중립 달성,달성,neutral,"{'negative': 0.088665, 'positive': 0.440581, 'neutral': 99.47076}"
한결,한결,neutral,"{'negative': 0.11899206, 'positive': 0.14078937, 'neutral': 99.74022}"
[중부발전 소식 000만원 전달…협,전달,positive,"{'negative': 0.028304921, 'positive': 85.59669, 'neutral': 14.375009}"
학교야 마을을 부탁해,부탁,neutral,"{'negative': 0.2453547, 'positive': 0.09685162, 'neutral': 99.65779}"
시행착오가 약,시행착오,neutral,"{'negative': 0.04514306, 'positive': 0.016932135, 'neutral': 99.93793}"
경로당에 태양광 넣어,경로당,neutral,"{'negative': 0.17023355, 'positive': 11.713525, 'neutral': 88.11624}"
[연합뉴스 이 시각 헤드라인 연합뉴스 이 ,연합뉴스,neutral,"{'negative': 0.02408865, 'positive': 0.017513825, 'neutral': 99.9584}"
2035년 아시아 최초 무탄소 도시 도전,도전,neutral,"{'negative': 0.08735011, 'positive': 0.05227396, 'neutral': 99.860374}"
