일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-01-01,84198.24,1803.96,44870.4,9280.62,50289.96,190443.18
2022-01-02,87253.92,3004.38,107424,7879.14,61820.94,267382.38
2022-01-03,165466.08,1355.76,43056,5874.48,45741.42,261493.74
2022-01-04,124738.56,4157.64,120326.4,10090.26,84647.52,343960.38
2022-01-05,95159.52,873.36,16502.4,14250.6,20419.74,147205.62
2022-01-06,183204,6106.32,222220.8,20064.78,109986,541581.9
2022-01-07,124171.2,834.3,28396.8,6916.68,21668.28,181987.26
2022-01-08,179523.36,4168.26,133257.6,8647.74,101824.56,427421.52
2022-01-09,102013.92,1740.6,49017.6,5801.22,43831.62,202404.96
2022-01-10,123998.4,2709.36,78652.8,5557.68,68888.46,279806.7
2022-01-11,167844.96,2637.18,647395.2,14525.46,171667.68,1004070.48
2022-01-12,121703.04,8074.26,395193.6,10953.36,129177.24,665101.5
2022-01-13,96405.12,935.28,470995.2,11156.76,136966.98,716459.34
2022-01-14,121597.92,3737.88,243360,3319.38,96016.92,468032.1
2022-01-15,26768.16,926.28,20764.8,487.26,14314.44,63260.94
2022-01-16,97783.2,10521.36,316108.8,18114.84,130374.84,572903.04
2022-01-17,157809.6,8912.52,329184,18100.26,133474.98,647481.36
2022-01-18,185008.32,1429.2,189734.4,15784.74,72721.86,464678.52
2022-01-19,124048.8,3536.1,93600,2538.36,41777.94,265501.2
2022-01-20,172656,1739.7,229680,14764.86,85076.34,503916.9
2022-01-21,12058.56,977.76,21484.8,2517.66,26243.7,63282.48
2022-01-22,2528.64,2383.56,123926.4,8539.02,69151.98,206529.6
2022-01-23,49034.88,3457.44,78883.2,8740.26,79223.64,219339.42
2022-01-24,51017.76,8362.44,195724.8,5903.1,127996.38,389004.48
2022-01-25,41947.2,1464.3,22838.4,2865.78,22377.3,91492.98
2022-01-26,166004.64,3516.66,114364.8,14725.26,85882.56,384493.92
2022-01-27,206281.44,5017.68,180921.6,18313.02,134034.18,544567.92
2022-01-28,244290.24,9635.58,239011.2,21102.48,189266.94,703306.44
2022-01-29,183919.68,7950.78,222192,21797.28,157155.72,593015.46
2022-01-30,184824,9318.78,267235.2,21744.36,159386.64,642508.98
2022-01-31,109229.76,5112,142761.6,12026.34,96824.64,365954.34
2022-02-01,106077.6,6495.12,385977.6,16373.7,143177.1,658101.12
2022-02-02,134465.76,5769.54,144201.6,15941.7,93379.74,393758.34
2022-02-03,151256.16,6819.12,176112,21711.24,112001.82,467900.34
2022-02-04,112132.8,11244.6,365356.8,21522.06,147472.26,657728.52
2022-02-05,80722.08,2315.34,593568,21247.38,144674.28,842527.08
2022-02-06,91291.68,5857.2,347040,16151.22,110312.64,570652.74
2022-02-07,116557.92,2644.56,64915.2,15316.92,38162.88,237597.48
2022-02-08,123544.8,4093.92,120211.2,20943.36,46756.8,315550.08
2022-02-09,27031.68,304.2,2332.8,4060.08,3742.44,37471.2
2022-02-10,197624.16,7386.48,191088,17544.78,103703.52,517346.94
2022-02-11,52547.04,412.2,5817.6,5124.24,7692.96,71594.04
2022-02-12,15082.56,1101.06,28166.4,3933.9,14624.7,62908.62
2022-02-13,28713.6,3085.2,92448,8580.6,49050.6,181878
2022-02-14,56335.68,2217.6,72748.8,8698.86,42985.26,182986.2
2022-02-15,134209.44,5481.18,519465.6,19109.52,177734.46,856000.2
2022-02-16,77297.76,5526.54,600451.2,20188.8,168448.32,871912.62
2022-02-17,145569.6,4546.44,350668.8,21388.32,120666.3,642839.46
2022-02-18,13272.48,3704.94,80121.6,2435.04,63776.4,163310.46
2022-02-19,116769.6,6589.8,282816,18858.96,110704.62,535738.98
2022-02-20,167371.2,2172.42,634204.8,22110.12,132981,958839.54
2022-02-21,78166.08,8212.86,272275.2,14459.58,93072.72,466186.44
2022-02-22,62686.08,7101,229046.4,17648.82,99747,416229.3
2022-02-23,182355.84,11361.24,361526.4,24093,167448.3,746784.78
2022-02-24,152838.72,10795.32,341596.8,6514.02,147757.62,659502.48
2022-02-25,33572.16,3444.84,103478.4,0,34322.1,174817.5
2022-02-26,48237.12,2453.04,128534.4,0,24803.04,204027.6
2022-02-27,122863.68,1046.16,180921.6,0,73105.74,377937.18
2022-02-28,25839.36,599.4,26985.6,0,8571.72,61996.08
2022-03-01,188671.68,5994.9,135302.4,0,88725.36,418694.34
2022-03-02,157857.12,8552.34,275500.8,0,115468.2,557378.46
2022-03-03,20943.36,2404.62,89827.2,0,22249.86,135425.04
2022-03-04,86083.2,1331.28,63360,0,24864.84,175639.32
2022-03-05,126452.16,5580.54,299289.6,0,139607.58,570929.88
2022-03-06,148059.36,9260.1,311875.2,0,160991.46,630186.12
2022-03-07,87966.72,1578.96,57427.2,0,47714.58,194687.46
2022-03-08,21568.32,1386,44524.8,0,36095.46,103574.58
2022-03-09,37388.16,1042.56,45907.2,0,33630.66,117968.58
2022-03-10,18721.44,902.16,41558.4,0,15102.6,76284.6
2022-03-11,43843.68,1958.94,93484.8,0,32532.9,171820.32
2022-03-12,51386.4,2931.12,64051.2,0,44986.62,163355.34
2022-03-13,101227.68,4522.14,200851.2,0,88239.96,394840.98
2022-03-14,75222.72,2806.74,78076.8,0,42182.34,198288.6
2022-03-15,76157.28,2921.94,46396.8,0,56095.26,181571.28
2022-03-16,2309.76,178.92,518.4,0,804.06,3811.14
2022-03-17,77050.08,4718.16,268041.6,4426.74,81241.8,435478.38
2022-03-18,114059.52,578.88,276192,4695.48,6538.8,402064.68
2022-03-19,64853.28,3454.74,334339.2,15231.06,121300.5,539178.78
2022-03-20,92207.52,3356.82,70704,8028.9,58774.26,233071.5
2022-03-21,77323.68,1585.98,31305.6,8579.88,35680.44,154475.58
2022-03-22,97668,1780.74,43113.6,10811.52,46669.26,200043.12
2022-03-23,24124.32,1084.5,23443.2,3915.72,23509.62,76077.36
2022-03-24,44500.32,847.08,45532.8,2307.78,15576.72,108764.7
2022-03-25,184865.76,2630.16,278812.8,11569.32,84097.74,561975.78
2022-03-26,134527.68,83.7,461059.2,16421.22,134522.88,746614.68
2022-03-27,98066.88,163.98,171043.2,10637.82,112404.24,392316.12
2022-03-28,78670.08,1862.82,82339.2,9164.16,72962.64,244998.9
2022-03-29,3009.6,2750.22,79804.8,1914.3,45859.98,133338.9
2022-03-30,4665.6,599.94,19497.6,3561.12,10751.16,39075.42
2022-03-31,191746.08,7474.68,149155.2,18635.94,137595.24,504607.14
2022-04-01,62935.2,1945.44,80467.2,13165.02,54349.62,212862.48
2022-04-02,75784.32,896.94,30153.6,5695.38,18131.04,130661.28
2022-04-03,95330.88,1351.62,42969.6,7599.6,40155.06,187406.76
2022-04-04,2175.84,781.02,13075.2,1176.48,12786.06,29994.6
2022-04-05,663.84,1059.3,25228.8,401.76,18029.22,45382.92
2022-04-06,9087.84,740.88,15091.2,342.72,17405.22,42667.86
2022-04-07,50889.6,5375.7,95126.4,1582.56,89509.5,242483.76
2022-04-08,21342.24,545.4,4089.6,1499.22,8990.7,36467.16
2022-04-09,33330.24,500.22,8092.8,5729.94,13844.88,61498.08
2022-04-10,59575.68,1126.98,13651.2,8990.28,34760.94,118105.08
2022-04-11,13500,1691.28,67046.4,5713.38,31757.1,119708.16
2022-04-12,10766.88,433.26,1670.4,2917.08,2781.6,18569.22
2022-04-13,45658.08,4960.8,166636.8,2477.52,93595.68,313328.88
2022-04-14,126259.2,2807.1,401904,10110.06,162580.62,703660.98
2022-04-15,97839.36,4084.92,91324.8,14273.28,88072.2,295594.56
2022-04-16,69014.88,1222.2,31334.4,6340.5,22594.62,130506.6
2022-04-17,99642.24,3091.68,61920,2956.68,53999.28,221609.88
2022-04-18,51685.92,882.18,22579.2,830.52,21430.98,97408.8
2022-04-19,49645.44,1719.54,34819.2,3467.16,36708.6,126359.94
2022-04-20,12791.52,884.88,14889.6,470.7,16923.24,45959.94
2022-04-21,9102.24,299.52,6652.8,3067.56,5585.1,24707.22
2022-04-22,41610.24,316.8,3283.2,7957.8,8928.42,62096.46
2022-04-23,5251.68,368.1,15062.4,570.78,5613.72,26866.68
2022-04-24,14387.04,144.72,172.8,1232.64,882.9,16820.1
2022-04-25,79362.72,3808.98,133488,9185.76,63518.22,289363.68
2022-04-26,138399.84,4252.14,123753.6,6216.3,69777.72,342399.6
2022-04-27,95732.64,3898.8,79286.4,10096.92,59610.36,248625.12
2022-04-28,5605.92,3146.76,66643.2,2835.9,48086.4,126318.18
2022-04-29,100149.12,2228.22,99331.2,11221.38,82071.54,295001.46
2022-04-30,20432.16,1686.42,44150.4,2972.52,37452.06,106693.56
2022-05-01,92460.96,3459.96,85564.8,8868.78,78508.98,268863.48
2022-05-02,43202.88,4407.3,115891.2,7211.52,63018.06,233730.96
2022-05-03,30873.6,524.88,10195.2,3117.96,7464.78,52176.42
2022-05-04,6808.32,364.86,2764.8,3868.56,3095.16,16901.7
2022-05-05,6098.4,1645.2,84729.6,8744.58,19251.9,120469.68
2022-05-06,908.64,1748.16,54172.8,1474.74,18210.24,76514.58
2022-05-07,52208.64,1426.86,31046.4,4636.08,35775.9,125093.88
2022-05-08,25758.72,4509.54,69580.8,2138.76,76485.3,178473.12
2022-05-09,22618.08,3439.44,74937.6,4053.78,56791.98,161840.88
2022-05-10,10775.52,3963.42,91785.6,1024.56,92954.04,200503.14
2022-05-11,895.68,365.4,13651.2,467.46,11155.62,26535.36
2022-05-12,9597.6,23.4,374.4,5788.44,237.84,16021.68
2022-05-13,66515.04,1958.94,39225.6,5437.44,37314.6,150451.62
2022-05-14,126479.52,8456.4,164188.8,11927.52,123975.78,435028.02
2022-05-15,133391.52,5178.42,106185.6,13890.42,97884.3,356530.26
2022-05-16,64101.6,1135.8,22147.2,1051.02,25734.6,114170.22
2022-05-17,2571.84,413.46,25344,436.32,5454.78,34220.4
2022-05-18,1647.36,132.3,57.6,362.52,75.3,2275.08
2022-05-19,2364.48,648,32140.8,769.14,6079.32,42001.74
2022-05-20,8170.56,1256.58,45129.6,1515.24,20656.26,76728.24
2022-05-21,82771.2,2966.22,62150.4,1001.34,49425.48,198314.64
2022-05-22,61735.68,4029.66,82800,177.3,74817.42,223560.06
2022-05-23,32109.12,2343.42,61344,1.62,54464.52,150262.68
2022-05-24,67858.56,1214.46,23961.6,2421,34880.7,130336.32
2022-05-25,4328.64,504.36,13852.8,1.08,6981.66,25668.54
2022-05-26,70400.16,3699.72,88329.6,3541.14,78058.68,244029.3
2022-05-27,43319.52,6786.72,121449.6,118.62,90244.44,261918.9
2022-05-28,25912.8,576.72,21139.2,3243.24,9610.32,60482.28
2022-05-29,41004,3610.44,157420.8,10452.06,67316.16,279803.46
2022-05-30,26939.52,2114.1,50342.4,2855.52,42168.54,124420.08
2022-05-31,49368.96,2527.74,46195.2,3813.12,45565.2,147470.22
2022-06-01,1964.16,387.72,8121.6,2340,7843.98,20657.46
2022-06-02,2187.36,141.84,201.6,1373.4,278.1,4182.3
2022-06-03,48.96,568.62,16444.8,42.48,6570,23674.86
2022-06-04,25128,3501.9,138902.4,7131.24,82435.8,257099.34
2022-06-05,103695.84,7136.1,349776,7210.44,172637.1,640455.48
2022-06-06,78317.28,4764.06,63129.6,4954.68,62467.02,213632.64
2022-06-07,15372,961.02,30758.4,476.46,39549.54,87117.42
2022-06-08,8687.52,2433.24,72172.8,397.26,45705.3,129396.12
2022-06-09,871.2,1931.94,64396.8,86.94,27858.96,95145.84
2022-06-10,4020.48,1045.62,67910.4,4176.18,27792.72,104945.4
2022-06-11,35624.16,903.06,46742.4,7321.5,14537.82,105128.94
2022-06-12,14297.76,2547.54,91036.8,1294.56,46559.16,155735.82
2022-06-13,39709.44,5371.74,162316.8,1434.6,113090.76,321923.34
2022-06-14,59055.84,3661.38,242006.4,4178.88,149086.44,457988.94
2022-06-15,10294.56,187.74,2592,2816.1,1587.6,17478
2022-06-16,5207.04,229.68,4377.6,2905.74,5007.96,17728.02
2022-06-17,24599.52,1092.42,30585.6,5688.72,7576.44,69542.7
2022-06-18,21384,370.98,3052.8,5626.08,2924.76,33358.62
2022-06-19,2924.64,844.2,36633.6,2245.68,9426.06,52074.18
2022-06-20,149.76,408.06,17251.2,398.16,5124.96,23332.14
2022-06-21,16551.36,1127.52,26150.4,5095.08,23604.12,72528.48
2022-06-22,14628.96,735.12,9936,3978,12128.04,41406.12
2022-06-23,110004.48,703.62,9331.2,12857.4,40463.52,173360.22
2022-06-24,54555.84,1584.54,117043.2,7512.48,28001.82,208697.88
2022-06-25,71573.76,2636.1,76204.8,9677.52,47307.24,207399.42
2022-06-26,95225.76,4319.46,171158.4,12540.6,78557.1,361801.32
2022-06-27,201166.56,4113.18,396662.4,16712.64,99845.28,718500.06
2022-06-28,197202.24,3113.82,282038.4,15841.26,67356.78,565552.5
2022-06-29,187786.08,6958.62,397987.2,12866.4,68166.84,673765.14
2022-06-30,85016.16,5595.66,290620.8,11058.12,74825.22,467115.96
2022-07-01,15919.2,2293.2,153907.2,5517.36,39454.98,217091.94
2022-07-02,384.48,618.66,40982.4,698.58,2269.08,44953.2
2022-07-03,10461.6,1470.6,68572.8,4273.92,18142.14,102921.06
2022-07-04,17196.48,1609.02,69264,1994.04,31110.48,121174.02
2022-07-05,5641.92,221.04,1670.4,1653.3,3005.82,12192.48
2022-07-06,44179.2,2992.86,138268.8,10614.6,45506.82,241562.28
2022-07-07,91589.76,3411.18,220060.8,10096.2,53586.36,378744.3
2022-07-08,24747.84,398.16,10627.2,2544.66,6427.92,44745.78
2022-07-09,37018.08,2002.5,48672,3333.6,42596.7,133622.88
2022-07-10,8419.68,593.46,26294.4,3127.5,15149.28,53584.32
2022-07-11,10051.2,283.68,20390.4,2436.12,6945.24,40106.64
2022-07-12,2645.28,1400.04,37008,2076.12,25960.2,69089.64
2022-07-13,24132.96,988.74,52300.8,6536.16,26836.02,110794.68
2022-07-14,33914.88,2626.74,62409.6,2029.86,43769.7,144750.78
2022-07-15,9554.4,473.58,8640,814.14,10084.26,29566.38
2022-07-16,78572.16,3344.4,69926.4,993.24,56134.62,208970.82
2022-07-17,8694.72,833.58,51264,1952.28,22080.06,84824.64
2022-07-18,83773.44,890.1,47952,8197.92,21970.8,162784.26
2022-07-19,49645.44,4111.38,97516.8,3143.16,56454.3,210871.08
2022-07-20,4930.56,214.56,806.4,1802.88,7328.52,15082.92
2022-07-21,94360.32,5109.48,322617.6,7532.28,120683.46,550303.14
2022-07-22,32061.6,3209.94,83088,611.82,75760.98,194732.34
2022-07-23,38253.6,2331.36,158889.6,6093,40830.12,246397.68
2022-07-24,62821.44,4212,154713.6,4220.82,81222.9,307190.76
2022-07-25,5904,692.46,16444.8,1001.7,14333.82,38376.78
2022-07-26,89.28,1305.18,27532.8,545.04,9842.7,39315
2022-07-27,721.44,1908.54,77097.6,3669.48,32499.42,115896.48
2022-07-28,9938.88,1627.74,64339.2,3709.08,25920.6,105535.5
2022-07-29,16349.76,1230.3,70617.6,1148.94,22204.98,111551.58
2022-07-30,130479.84,5587.02,285350.4,5307.84,142804.74,569529.84
2022-07-31,199696.32,6465.24,440697.6,10303.92,119252.22,776415.3
2022-08-01,145814.4,4093.74,265996.8,8111.7,38682.84,462699.48
2022-08-02,93396.96,1647.36,98524.8,5055.3,16300.5,214924.92
2022-08-03,31998.24,409.32,18345.6,3844.08,4947.42,59544.66
2022-08-04,2311.2,146.7,7718.4,1267.92,343.2,11787.42
2022-08-05,16342.56,1213.2,27043.2,4418.64,10626.6,59644.2
2022-08-06,2520,125.82,2188.8,2304,475.5,7614.12
2022-08-07,46494.72,630.54,12729.6,6571.08,6201.12,72627.06
2022-08-08,90826.56,977.76,17625.6,7694.82,23294.16,140418.9
2022-08-09,39954.24,1180.26,22896,7704.9,20807.4,92542.8
2022-08-10,54241.92,469.98,10310.4,5028.84,9901.26,79952.4
2022-08-11,67011.84,439.74,10339.2,5355.72,7778.22,90924.72
2022-08-12,9059.04,1195.56,21283.2,1076.04,12286.44,44900.28
2022-08-13,20056.32,191.34,489.6,4183.74,429.42,25350.42
2022-08-14,72728.64,808.92,9417.6,6054.12,13540.38,102549.66
2022-08-15,122863.68,1244.34,19238.4,8471.52,48714.96,200532.9
2022-08-16,130662.72,1461.06,79200,4834.8,10339.14,226497.72
2022-08-17,47337.12,1720.44,58867.2,4783.14,0,112707.9
2022-08-18,36283.68,555.3,11088,1270.26,292.68,49489.92
2022-08-19,65806.56,476.28,8640,5384.7,37.44,80344.98
2022-08-20,38116.8,998.82,20188.8,2542.86,3632.22,65479.5
2022-08-21,28242.72,1206.72,28224,2328.84,12169.8,72172.08
2022-08-22,823.68,985.32,19267.2,609.3,3964.02,25649.52
2022-08-23,5155.2,135.9,2073.6,984.96,261.12,8610.78
2022-08-24,68261.76,1497.96,36576,3640.5,13138.5,123114.72
2022-08-25,29469.6,400.32,35884.8,1191.24,16079.22,83025.18
2022-08-26,39437.28,939.06,42105.6,2682.36,32772.6,117936.9
2022-08-27,87780.96,3472.38,80928,7328.88,51597.9,231108.12
2022-08-28,71275.68,5019.48,103334.4,5896.98,71644.32,257170.86
2022-08-29,2014.56,2584.08,59616,422.46,48295.14,112932.24
2022-08-30,6628.32,335.34,18432,173.88,2726.1,28295.64
2022-08-31,119953.44,2386.08,57542.4,9721.08,41304.36,230907.36
2022-09-01,75481.92,3142.44,74448,9780.12,51833.76,214686.24
2022-09-02,81865.44,9304.92,260438.4,4463.64,128839.92,484912.32
2022-09-03,89254.08,6140.34,272275.2,3865.86,123236.1,494771.58
2022-09-04,47702.88,2453.22,118540.8,4958.82,39419.76,213075.48
2022-09-05,101069.28,3246.84,452707.2,4933.26,59918.22,621874.8
2022-09-06,62174.88,3967.02,231724.8,3979.62,34617.24,336463.56
2022-09-07,71375.04,1358.82,31737.6,1678.86,16153.68,122304
2022-09-08,41660.64,322.38,7948.8,6844.86,3641.22,60417.9
2022-09-09,28995.84,2985.3,49680,5960.52,33107.7,120729.36
2022-09-10,29311.2,10093.32,179942.4,3326.58,51937.92,274611.42
2022-09-11,10814.4,5091.84,101520,245.52,13804.8,131476.56
2022-09-12,21561.12,2165.22,62611.2,3546,0,89883.54
2022-09-13,120686.4,3238.38,309283.2,9839.7,0,443047.68
2022-09-14,189319.68,4320.72,531446.4,7850.52,0,732937.32
2022-09-15,162869.76,4169.52,350524.8,12227.76,0,529791.84
2022-09-16,44167.68,1800,75715.2,6634.44,0,128317.32
2022-09-17,54465.12,433.98,22118.4,7776.72,0,84794.22
2022-09-18,153838.08,2321.28,63878.4,8338.32,0,228376.08
2022-09-19,155485.44,4160.16,405590.4,504.9,0,565740.9
2022-09-20,66767.04,5066.46,185788.8,1049.76,0,258672.06
2022-09-21,37612.8,5580.72,138873.6,3119.94,15457.92,200644.98
2022-09-22,14954.4,2590.56,65548.8,468,39268.98,122830.74
2022-09-23,102889.44,4269.06,132307.2,1310.04,47502.66,288278.4
2022-09-24,121232.16,2502.36,58665.6,3167.46,40065.84,225633.42
2022-09-25,17452.8,725.22,21139.2,1783.44,7278.96,48379.62
2022-09-26,13651.2,101.7,0,1842.48,1.92,15597.3
2022-09-27,29377.44,129.6,0,1102.32,197.64,30807
2022-09-28,1375.2,329.76,0,90.9,5408.34,7204.2
2022-09-29,4188.96,407.88,0,300.6,8069.76,12967.2
2022-09-30,262.08,187.38,0,51.12,1780.38,2280.96
2022-10-01,99.36,386.1,345.6,356.22,1736.64,2923.92
2022-10-02,26039.52,2464.74,125020.8,2727.18,35874.12,192126.36
2022-10-03,119803.68,2296.26,56678.4,3962.88,61107.78,243849
2022-10-04,163530.72,6944.22,171216,2456.1,105446.1,449593.14
2022-10-05,153606.24,5238.72,94896,3744.36,61109.16,318594.48
2022-10-06,128604.96,2653.74,59932.8,3124.98,32968.26,227284.74
2022-10-07,134506.08,9168.12,125712,778.68,78610.44,348775.32
2022-10-08,58200.48,8036.82,229651.2,2032.74,137834.1,435755.34
2022-10-09,46909.44,4214.52,158947.2,819.72,95823.36,306714.24
2022-10-10,80318.88,52.38,417859.2,1064.34,122855.7,622150.5
2022-10-11,124810.56,2930.58,291312,2817,112393.68,534263.82
2022-10-12,49583.52,2763,84470.4,3956.94,45857.4,186631.26
2022-10-13,43129.44,8800.74,169401.6,2060.64,103018.56,326410.98
2022-10-14,30784.32,2031.3,57369.6,613.62,35043,125841.84
2022-10-15,23071.68,1553.04,21168,2195.64,20430.12,68418.48
2022-10-16,24112.8,1892.7,33062.4,3181.68,40401.12,102650.7
2022-10-17,78497.28,3381.3,329212.8,1816.02,104121.54,517028.94
2022-10-18,73571.04,7851.6,329616,1802.16,109705.5,522546.3
2022-10-19,98953.92,4847.94,101203.2,2751.3,64487.76,272244.12
2022-10-20,23595.84,380.16,12038.4,2511.9,4410.12,42936.42
2022-10-21,187.2,288.54,8294.4,1104.66,1726.92,11601.72
2022-10-22,33092.64,1030.5,9792,2346.48,17542.26,63803.88
2022-10-23,132363.36,5009.76,179683.2,1626.66,114692.04,433375.02
2022-10-24,107719.2,7388.46,319852.8,2250,137342.4,574552.86
2022-10-25,39212.64,3261.42,78624,2284.92,55726.08,179109.06
2022-10-26,22439.52,5072.04,99504,2853.36,98132.4,228001.32
2022-10-27,33999.84,513.54,5788.8,1573.92,7027.5,48903.6
2022-10-28,39026.88,284.94,3600,1393.02,6052.62,50357.46
2022-10-29,44498.88,1999.98,154713.6,5319.36,109174.86,315706.68
2022-10-30,25351.2,3909.06,144576,2834.46,113458.56,290129.28
2022-10-31,44105.76,6059.52,177984,2488.68,117274.62,347912.58
2022-11-01,82042.56,2727,32918.4,2316.6,45916.26,165920.82
2022-11-02,63809.28,378.18,9244.8,3200.76,6465.72,83098.74
2022-11-03,54106.56,4331.34,123696,1074.06,55614.78,238822.74
2022-11-04,109762.56,13776.66,351072,2077.92,135306.24,611995.38
2022-11-05,114302.88,7496.82,196876.8,2287.62,102142.32,423106.44
2022-11-06,58114.08,1468.08,18460.8,2725.56,22533.9,103302.42
2022-11-07,15305.76,128.88,1411.2,381.96,735.24,17963.04
2022-11-08,5772.96,235.98,144,131.04,2652.78,8936.76
2022-11-09,597.6,315.54,9043.2,382.5,1297.92,11636.76
2022-11-10,50.4,1007.64,29577.6,496.26,22400.52,53532.42
2022-11-11,8578.08,2044.62,71510.4,351.9,46108.26,128593.26
2022-11-12,62164.8,1750.86,128563.2,5174.28,31961.1,229614.24
2022-11-13,104646.24,10035.36,276393.6,2567.34,120297.24,513939.78
2022-11-14,135839.52,6729.3,153072,4602.78,94116.18,394359.78
2022-11-15,65538.72,4479.84,116611.2,3456,75736.62,265822.38
2022-11-16,63426.24,1088.82,31219.2,551.7,20778.96,117064.92
2022-11-17,4366.08,1098.9,13622.4,969.84,21462.18,41519.4
2022-11-18,28766.88,5446.98,97056,5146.74,96646.8,233063.4
2022-11-19,15323.04,7725.96,165340.8,1507.5,96709.92,286607.22
2022-11-20,13040.64,4395.06,93168,2920.32,90456.78,203980.8
2022-11-21,6393.6,252.72,2851.2,1887.3,4096.98,15481.8
2022-11-22,13512.96,3092.04,79344,5154.12,48957.36,150060.48
2022-11-23,104369.76,6967.8,132019.2,18275.94,90236.22,351868.92
2022-11-24,99266.4,1952.1,43516.8,9228.06,50310.18,204273.54
2022-11-25,7932.96,444.06,19814.4,2767.14,5682.12,36640.68
2022-11-26,83331.36,2697.66,51494.4,11127.78,41619.66,190270.86
2022-11-27,25344,850.14,42595.2,4627.62,11195.22,84612.18
2022-11-28,109841.76,3201.84,245491.2,13962.24,72920.46,445417.5
2022-11-29,139514.4,5172.12,416419.2,11472.3,116071.26,688649.28
2022-11-30,151695.36,0,580579.2,1677.96,146060.58,880013.1
2022-12-01,51348.96,541.8,127094.4,6754.68,49760.4,235500.24
2022-12-02,13475.52,834.84,16416,5113.8,8527.81,44367.97
2022-12-03,20383.2,816.3,6681.6,5211.18,10396.688,43488.968
2022-12-04,226183.68,4272.12,129657.6,21405.78,60069.843,441589.023
2022-12-05,213857.28,8091,312739.2,21817.62,109614.241,666119.341
2022-12-06,91133.28,8041.86,284342.4,14946.66,94056.171,492520.371
2022-12-07,64074.24,6114.78,154598.4,9048.78,68308.369,302144.569
2022-12-08,58596.48,521.46,4694.4,6450.3,10895.027,81157.667
2022-12-09,22762.08,220.32,115.2,4945.68,1598.981,29642.261
2022-12-10,82800,981.9,19785.6,9176.58,13619.406,126363.486
2022-12-11,97909.92,8157.06,157248,14996.7,63284.505,341596.185
2022-12-12,142924.32,3361.5,135331.2,11156.04,50626.401,343399.461
2022-12-13,110351.52,3275.28,507398.4,19124.46,140826.948,780976.608
2022-12-14,96739.2,2000.52,357177.6,18834.3,110878.862,585630.482
2022-12-15,4314.24,210.24,9763.2,1222.2,1814.79,17324.67
2022-12-16,184734.72,1447.2,148089.6,19505.88,70461.201,424238.601
2022-12-17,125174.88,3906.72,451584,18533.52,136055.047,735254.167
2022-12-18,84817.44,17.46,533059.2,11993.76,133511.39,763399.25
2022-12-19,8665.92,2879.64,160732.8,13244.58,54125.596,239648.536
2022-12-20,5050.08,527.58,30499.2,1717.02,4241.181,42035.061
2022-12-21,43297.92,4321.8,170409.6,14003.28,52681.379,284713.979
2022-12-22,112524.48,1562.58,560736,23106.96,143485.167,841415.187
2022-12-23,116912.16,21.06,356227.2,9947.34,37438.748,520546.508
2022-12-24,150176.16,3594.78,397612.8,15145.38,71127.21,637656.33
2022-12-25,168004.8,9558.18,337939.2,19171.62,115678.247,650352.047
2022-12-26,103717.44,8006.58,197971.2,13921.02,84476.089,408092.329
2022-12-27,166082.4,9006.48,221414.4,14657.04,96480.622,507640.942
2022-12-28,157855.68,7432.2,191203.2,14562,94935.093,465988.173
2022-12-29,61175.52,6262.02,162316.8,14533.2,81609.495,325897.035
2022-12-30,14986.08,4761.36,139046.4,11412.9,58752.722,228959.462
2022-12-31,63270.72,6750.18,196387.2,12797.46,81099.232,360304.792
2023-01-01,80125.92,8472.78,220521.6,15136.92,99192.934,423450.154
2023-01-02,165487.68,10303.2,287193.6,12013.2,125506.896,600504.576
2023-01-03,108518.4,11379.78,342921.6,6993.18,104463.776,574276.736
2023-01-04,86772.96,3314.16,79257.6,4096.08,24280.202,197721.002
